time,type,x,y
2025-07-08 16:43:50, realtime,391.90,263.36
2025-07-08 16:43:50, realtime,391.90,263.36
2025-07-08 16:43:50, realtime,391.90,263.36
2025-07-08 16:43:54, realtime,391.82,262.88
2025-07-08 16:43:54, realtime,391.82,262.88
2025-07-08 16:43:54, realtime,391.82,262.88
2025-07-08 16:43:54, realtime,391.82,262.88
2025-07-08 16:43:54, realtime,391.82,262.88
2025-07-08 16:43:57, realtime,391.82,262.41
2025-07-08 16:43:57, realtime,391.82,262.41
2025-07-08 16:43:57, realtime,391.82,262.41
2025-07-08 16:43:57, realtime,391.82,262.41
2025-07-08 16:43:57, realtime,391.82,262.41
2025-07-08 16:44:00, realtime,390.99,262.38
2025-07-08 16:44:00, realtime,390.99,262.38
2025-07-08 16:44:00, realtime,390.99,262.38
2025-07-08 16:44:00, realtime,390.99,262.38
2025-07-08 16:44:03, realtime,391.26,262.60
2025-07-08 16:44:03, realtime,391.26,262.60
2025-07-08 16:44:03, realtime,391.26,262.60
2025-07-08 16:44:03, realtime,391.26,262.60
2025-07-08 16:44:03, predict,372.47,261.21
2025-07-08 16:44:05, predict,391.26,262.60
2025-07-08 16:44:07, realtime,391.36,262.62
2025-07-08 16:44:07, realtime,391.36,262.62
2025-07-08 16:44:07, realtime,391.36,262.62
2025-07-08 16:44:07, realtime,391.36,262.62
2025-07-08 16:44:07, realtime,3.21,331.44
2025-07-08 16:44:07, predict,372.63,261.29
2025-07-08 16:44:08, predict,391.36,262.62
2025-07-08 16:44:10, predict,3.21,331.44
2025-07-08 16:44:11, realtime,391.62,262.77
2025-07-08 16:44:11, realtime,391.62,262.77
2025-07-08 16:44:11, realtime,391.62,262.77
2025-07-08 16:44:11, realtime,391.62,262.77
2025-07-08 16:44:11, predict,391.62,262.77
2025-07-08 16:44:12, predict,372.60,261.58
2025-07-08 16:44:13, realtime,391.63,262.84
2025-07-08 16:44:13, realtime,391.63,262.84
2025-07-08 16:44:13, realtime,391.63,262.84
2025-07-08 16:44:13, realtime,391.63,262.84
2025-07-08 16:44:14, predict,372.57,261.60
2025-07-08 16:44:15, predict,391.63,262.84
2025-07-08 16:44:16, realtime,391.82,262.99
2025-07-08 16:44:16, realtime,391.82,262.99
2025-07-08 16:44:16, realtime,391.82,262.99
2025-07-08 16:44:16, realtime,391.82,262.99
2025-07-08 16:44:16, predict,372.57,262.47
2025-07-08 16:44:18, predict,391.82,262.99
2025-07-08 16:44:19, realtime,391.80,262.96
2025-07-08 16:44:19, realtime,391.80,262.96
2025-07-08 16:44:19, realtime,391.80,262.96
2025-07-08 16:44:19, realtime,391.80,262.96
2025-07-08 16:44:19, predict,372.40,262.72
2025-07-08 16:44:20, predict,391.80,262.96
2025-07-08 16:44:21, realtime,391.84,263.03
2025-07-08 16:44:21, realtime,391.84,263.03
2025-07-08 16:44:21, realtime,391.84,263.03
2025-07-08 16:44:21, realtime,391.84,263.03
2025-07-08 16:44:22, predict,372.40,263.03
2025-07-08 16:44:23, predict,391.84,263.03
2025-07-08 16:44:24, realtime,391.82,263.20
2025-07-08 16:44:24, realtime,391.82,263.20
2025-07-08 16:44:24, realtime,391.82,263.20
2025-07-08 16:44:24, realtime,391.82,263.20
2025-07-08 16:44:24, predict,372.26,263.22
2025-07-08 16:44:25, predict,372.26,263.22
2025-07-08 16:44:25, predict,391.82,263.20
2025-07-08 16:44:26, predict,391.82,263.20
2025-07-08 16:44:27, realtime,391.43,263.44
2025-07-08 16:44:27, realtime,391.43,263.44
2025-07-08 16:44:27, realtime,391.43,263.44
2025-07-08 16:44:27, realtime,391.43,263.44
2025-07-08 16:44:27, predict,372.16,263.46
2025-07-08 16:44:28, predict,372.16,263.46
2025-07-08 16:44:28, predict,391.43,263.44
2025-07-08 16:44:29, predict,391.43,263.44
2025-07-08 16:44:29, realtime,391.75,263.37
